# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;00:15;294.56;66.96;1015.16;3.36;20.53;0.000000;0.000000;0.000000;12.4400
2022-01-01;00:30;294.97;65.78;1015.33;3.18;21.46;0.000000;0.000000;0.000000;22.8662
2022-01-01;00:45;295.38;64.60;1015.50;3.01;22.51;0.000000;0.000000;0.000000;34.8691
2022-01-01;01:00;295.79;63.42;1015.67;2.84;23.68;0.000000;0.000000;0.000000;48.3559
2022-01-01;01:15;296.19;62.24;1015.84;2.67;25.01;0.000000;0.000000;0.000000;63.2205
2022-01-01;01:30;296.60;61.06;1016.01;2.50;26.51;0.000000;0.000000;0.000000;79.3436
2022-01-01;01:45;297.01;59.88;1016.18;2.33;28.23;0.000000;0.000000;0.000000;93.9558
2022-01-01;02:00;297.42;58.70;1016.35;2.16;30.22;0.000000;0.000000;0.000000;105.9949
2022-01-01;02:15;297.82;57.52;1016.52;2.00;32.53;0.000000;0.000000;0.000000;117.7147
2022-01-01;02:30;298.23;56.34;1016.69;1.84;35.25;0.000000;0.000000;0.000000;129.0520
2022-01-01;02:45;298.64;55.17;1016.86;1.69;38.46;0.000000;0.000000;0.000000;139.9440
2022-01-01;03:00;299.05;53.99;1017.03;1.54;42.30;0.000000;0.000000;0.000000;150.3293
2022-01-01;03:15;299.39;53.01;1016.77;1.66;37.03;0.000000;0.000000;0.000000;160.1477
2022-01-01;03:30;299.74;52.03;1016.51;1.79;32.47;0.000000;0.000000;0.000000;169.3407
2022-01-01;03:45;300.09;51.05;1016.25;1.92;28.54;0.000000;0.000000;0.000000;177.8518
2022-01-01;04:00;300.44;50.07;1015.99;2.07;25.15;0.000000;0.000000;0.000000;185.6267
2022-01-01;04:15;300.78;49.10;1015.73;2.22;22.21;0.000000;0.000000;0.000000;192.6139
2022-01-01;04:30;301.13;48.12;1015.47;2.38;19.65;0.000000;0.000000;0.000000;198.7647
2022-01-01;04:45;301.48;47.14;1015.21;2.54;17.41;0.000000;0.000000;0.000000;202.8952
2022-01-01;05:00;301.82;46.16;1014.95;2.70;15.44;0.000000;0.000000;0.000000;204.9236
2022-01-01;05:15;302.17;45.18;1014.69;2.87;13.70;0.000000;0.000000;0.000000;205.9641
