Datetime,I,QRF Quantile: 0.45,QRF Quantile: 0.55,QRF Quantile: 0.425,QRF Quantile: 0.575,QRF Quantile: 0.4,QRF Quantile: 0.6,QRF Quantile: 0.375,QRF Quantile: 0.625,QRF Quantile: 0.35,QRF Quantile: 0.65,QRF Quantile: 0.325,QRF Quantile: 0.675,QRF Quantile: 0.3,QRF Quantile: 0.7,QRF Quantile: 0.275,QRF Quantile: 0.725,QRF Quantile: 0.25,QRF Quantile: 0.75,QRF Quantile: 0.225,QRF Quantile: 0.775,QRF Quantile: 0.2,QRF Quantile: 0.8,QRF Quantile: 0.175,QRF Quantile: 0.825,QRF Quantile: 0.15,QRF Quantile: 0.85,QRF Quantile: 0.125,QRF Quantile: 0.875,QRF Quantile: 0.1,QRF Quantile: 0.9,QRF Quantile: 0.075,QRF Quantile: 0.925,QRF Quantile: 0.05,QRF Quantile: 0.95
2022-04-01 10:00:00,805.2098,785.2651977539062,797.28076171875,785.176513671875,796.8896484375,776.9951171875,801.7848510742188,779.3795776367188,801.3782348632812,779.503662109375,801.7927856445312,772.7252807617188,805.1337280273438,763.7468872070312,804.7759399414062,753.2233276367188,806.883056640625,755.8306884765625,810.509521484375,747.2637939453125,813.0767822265625,739.5770263671875,815.0161743164062,715.7486572265625,821.5209350585938,727.6959228515625,824.3961791992188,683.1041259765625,832.2078857421875,676.3695678710938,844.8741455078125,651.5511474609375,851.4881591796875,635.6288452148438,871.1866455078125
2022-04-01 10:15:00,810.9895,811.016845703125,828.3651733398438,813.4546508789062,830.5322265625,810.70947265625,836.66259765625,808.0172729492188,843.2252807617188,799.6416625976562,839.8990478515625,799.345947265625,841.68603515625,793.27734375,847.8657836914062,795.1593627929688,848.06640625,790.3365478515625,853.7074584960938,776.656494140625,857.8670043945312,777.9266357421875,857.8665161132812,744.0504150390625,862.422607421875,733.7686157226562,864.4442749023438,716.4130859375,873.030029296875,694.7532958984375,886.9727172851562,673.1454467773438,888.8780517578125,613.861328125,929.068115234375
2022-04-01 10:30:00,790.541,835.6167602539062,860.1298828125,840.208984375,859.072021484375,829.86474609375,870.0717163085938,823.5126342773438,870.193603515625,811.05517578125,874.80517578125,807.8133544921875,876.8070068359375,806.6239624023438,880.292724609375,795.1187133789062,888.4178466796875,790.9178466796875,889.7249755859375,790.5209350585938,893.7547607421875,789.83203125,891.064208984375,768.7542114257812,896.357666015625,765.1056518554688,899.1526489257812,738.2257690429688,912.4363403320312,703.9481201171875,928.4129028320312,694.787109375,937.1715698242188,623.6515502929688,954.2802124023438
2022-04-01 10:45:00,891.0642,859.7014770507812,877.2495727539062,857.73095703125,885.7600708007812,849.9766845703125,890.3244018554688,852.603515625,887.572509765625,832.8262329101562,891.064208984375,826.8956909179688,891.064208984375,817.983154296875,891.064208984375,812.9868774414062,898.3192138671875,797.6398315429688,897.2598876953125,807.9912109375,907.1871337890625,793.3785400390625,908.3584594726562,783.0067749023438,920.0535278320312,769.7484130859375,926.5877685546875,741.2222290039062,938.6459350585938,706.4083251953125,949.665283203125,704.0328369140625,953.3975219726562,646.8071899414062,964.4257202148438
2022-04-01 11:00:00,949.7027,857.5035400390625,871.60400390625,855.1551513671875,886.7814331054688,846.2044677734375,887.5078125,850.2838134765625,887.64599609375,813.2789916992188,894.4603271484375,814.3657836914062,891.064208984375,813.8945922851562,891.064208984375,808.0240478515625,898.4365234375,793.2822265625,908.3377685546875,795.994873046875,920.2093505859375,790.3727416992188,928.4129028320312,751.199951171875,937.5762329101562,736.72021484375,939.9338989257812,716.473388671875,949.6553344726562,686.4622802734375,958.1459350585938,641.055419921875,979.2428588867188,591.7526245117188,979.80859375
2022-04-01 11:15:00,979.5159,908.3421630859375,926.1453857421875,902.5684814453125,928.4481811523438,890.6048583984375,928.9971313476562,889.9428100585938,938.6241455078125,876.3289794921875,941.1907958984375,868.4713134765625,949.7027587890625,868.45751953125,958.6737060546875,864.2073974609375,964.8450317382812,846.216552734375,972.6224365234375,855.75634765625,969.53271484375,817.5947875976562,979.0091552734375,811.199951171875,979.4501953125,792.8090209960938,979.356201171875,739.2194213867188,980.5936279296875,736.5734252929688,986.49365234375,690.7772216796875,1002.0113525390625,635.9741821289062,1017.486328125
2022-04-01 11:30:00,1009.183,962.3475952148438,968.1729736328125,949.7027587890625,976.9169311523438,953.912353515625,975.2808837890625,948.4707641601562,978.4212646484375,941.2024536132812,980.1254272460938,932.9122924804688,980.4003295898438,915.2267456054688,984.1788330078125,915.156005859375,984.746826171875,908.1989135742188,987.0593872070312,885.304931640625,991.5648803710938,882.9136962890625,997.6124267578125,853.177734375,1005.4741821289062,830.68798828125,1008.0671997070312,803.2092895507812,1009.188720703125,775.64208984375,1009.486572265625,662.8817138671875,1023.5496215820312,622.8256225585938,1025.191162109375
2022-04-01 11:45:00,984.0153,963.9551391601562,970.9441528320312,953.025146484375,979.4884033203125,957.2193603515625,978.9315185546875,945.805419921875,983.7073974609375,941.1280517578125,983.6402587890625,935.4178466796875,984.0723266601562,917.1539916992188,986.1248779296875,923.515625,986.16455078125,908.306884765625,989.269287109375,879.1552124023438,992.2401733398438,875.4437866210938,996.0027465820312,844.9830322265625,1005.2943115234375,811.1343994140625,1005.3259887695312,790.677978515625,1009.3665771484375,774.274169921875,1013.03857421875,627.7100219726562,1025.087890625,590.80712890625,1042.9669189453125
2022-04-01 12:00:00,1052.311,946.3179931640625,970.9071655273438,950.49560546875,974.7091064453125,929.73193359375,977.148681640625,941.214599609375,978.8448486328125,907.63427734375,976.7665405273438,905.3012084960938,985.85693359375,884.8126220703125,985.3455810546875,865.1685791015625,987.0280151367188,843.4202880859375,991.322998046875,864.0368041992188,995.741943359375,793.3876342773438,1002.2593383789062,777.9846801757812,1007.8129272460938,774.6570434570312,1012.255126953125,687.72900390625,1021.7808837890625,600.490478515625,1029.1539306640625,593.294189453125,1047.465087890625,507.9851379394531,1051.9468994140625
2022-04-01 12:15:00,776.933,934.583740234375,960.1781005859375,926.2444458007812,964.8064575195312,913.0744018554688,972.7346801757812,909.1972045898438,970.2894287109375,886.689453125,973.0126953125,880.3115234375,978.8950805664062,868.0574340820312,983.6129150390625,843.3123779296875,983.8634643554688,794.4584350585938,986.2069091796875,829.6456909179688,986.3829345703125,780.4453125,993.3693237304688,777.3129272460938,997.8552856445312,765.2691040039062,1000.9468383789062,687.834716796875,1008.1602172851562,596.8477172851562,1012.2326049804688,598.7084350585938,1022.4711303710938,511.5438537597656,1047.482177734375
