Datetime,I,Quantile: 0.45,Quantile: 0.55,Quantile: 0.425,Quantile: 0.575,Quantile: 0.4,Quantile: 0.6,Quantile: 0.375,Quantile: 0.625,Quantile: 0.35,Quantile: 0.65,Quantile: 0.325,Quantile: 0.675,Quantile: 0.3,Quantile: 0.7,Quantile: 0.275,Quantile: 0.725,Quantile: 0.25,Quantile: 0.75,Quantile: 0.225,Quantile: 0.775,Quantile: 0.2,Quantile: 0.8,Quantile: 0.175,Quantile: 0.825,Quantile: 0.15,Quantile: 0.85,Quantile: 0.125,Quantile: 0.875,Quantile: 0.1,Quantile: 0.9,Quantile: 0.075,Quantile: 0.925,Quantile: 0.05,Quantile: 0.95
2022-04-01 10:00:00,805.2098,748.2858555832072,767.2132238064823,743.4529770341298,769.877493386537,737.7978116986478,771.0798331443757,737.9443336677236,776.4088123258075,731.7243791813826,779.1000090544576,728.1648657904066,781.4746088935271,722.2276566430282,782.3559953452614,722.6189640953417,789.7027605040257,714.8648697322508,791.4687252116382,705.3762765616452,793.6631742844547,694.5776417438631,799.4564868885091,685.5071438867814,799.8475095467002,677.0633490926992,805.9006161698717,660.0456258710292,822.9325993065522,645.5623865117043,823.3319611058905,612.4462073918019,828.9502139837896,541.16491401145,846.299546551516
2022-04-01 10:15:00,810.9895,787.2353019570492,806.0474372595081,782.8548954075111,807.847125384671,777.1749790342287,808.9278942257934,776.8409011559174,814.624009243988,770.0835710652527,817.3909650342248,766.11317206698,819.1620360427023,760.2666354960506,820.192167303192,758.5129975977147,826.8914023686912,750.6737879186164,827.4445820516985,740.3868789642102,829.3469801195251,728.8925116853336,834.0996609091972,720.0456132959165,834.0737457129071,710.8099250872057,839.5719741929215,693.7705277785935,856.1663489404655,679.1896187702931,857.1734683725972,643.5115427338505,862.3662795406435,567.7258656886606,879.4104741074643
2022-04-01 10:30:00,790.541,813.2530671502063,834.0736083396423,808.5862231428298,835.8485488188098,802.4362327916633,837.3868591041382,801.199047224437,843.9485633890577,793.6759664593205,847.2449605747352,789.5076008991477,849.1814137639167,783.9070956432734,850.8861711031086,779.3850890515691,857.5449220135242,771.1601812570582,858.4075477582455,759.7889799147154,860.870647496743,747.7521012816046,865.73437681417,738.8957392007898,866.4556689679102,728.1946356044026,872.4819711741357,710.5116942684369,889.8655028547619,696.0301902916702,892.9035229911606,659.3744164678624,898.6766803760966,580.1124240681531,915.0884512241119
2022-04-01 10:45:00,891.0642,835.9260715585779,858.9499249199148,830.8498809501018,861.5917056187009,824.4265684858269,863.7513563798229,822.0874615635507,870.5819330836562,814.6738454893707,874.2425625759552,810.6055099431069,876.840854281183,804.9953173193039,879.0065578375161,797.9392208617951,886.1171897104441,789.5525806401063,888.3716218498712,777.2152295787257,891.7271464374753,763.8151137286882,897.0713977346013,753.3076518172276,899.3945623445343,739.9906964238461,906.4848742270324,720.4775442176447,924.478198988345,707.1784886422225,929.0339326164831,671.4735813123282,935.8571018312668,590.2425039471063,950.370617720213
2022-04-01 11:00:00,949.7027,822.9402714930611,851.8815771063732,816.9495601276228,857.0338097994254,809.6424653559379,860.6578968247104,806.3443035118426,868.3616227674106,798.432638550808,872.9642482291756,793.7000465139026,877.8424675527012,787.6136952172055,880.930297123844,778.0682256443674,890.020753883472,770.365683688289,897.3928861942841,757.6714568219381,903.1739020190116,742.2576025134626,911.7954169714694,728.8738689270145,918.5040413858042,713.2845978883648,928.9965981788455,693.141387040178,948.8771076079483,679.6664903665895,954.8074079074231,649.0855279244383,964.0883056324328,567.6431591010939,977.1554801813345
2022-04-01 11:15:00,979.5159,860.0561608660073,885.3823634280102,854.1742929788372,889.5172163482475,846.8664071000062,894.6902135859809,845.4418080890459,901.7499865375362,835.1463250227298,906.0065819560823,826.2991434233036,909.5729488752895,818.8393098809406,913.1506780070549,809.0872305119328,921.1359471639853,800.487936328246,924.9457284751279,788.289627546309,929.2677247693364,772.7261006684125,936.0929753687369,761.6344206860618,941.9505575035273,747.7537801245375,951.5617585471055,726.6971371025263,969.6792818164395,710.8587444810744,977.398473792111,675.8118173331497,983.2665865960789,596.1825143274793,996.5759580359991
2022-04-01 11:30:00,1009.183,894.3865475303796,918.8502988152541,888.1585248246577,922.8028149586507,881.3388689721119,927.3645902115513,879.7092445134535,935.3356922055013,868.5097697665287,939.3391922067603,860.408401572488,941.545550670754,855.2683100191271,944.2841132839021,840.9350308261246,950.1354748088615,831.3029662748834,951.5633178046219,817.4917050112963,955.5047909029336,803.1259316341955,960.0226379259375,793.0639831100674,963.6744251759173,776.8385726306368,972.0072319280816,754.9378913371315,990.4396660882267,738.812905372636,998.1094783493445,702.2300187522326,1002.5637319677753,618.9735553942589,1013.5803415046903
2022-04-01 11:45:00,984.0153,916.9507019669245,941.8175491329166,910.3489218272177,946.2620380351736,903.8350712250394,950.5556732774867,901.7347993948392,959.1492856766167,889.9661613382909,963.0722236595711,882.4070126531456,964.6886305961089,878.7144273336176,966.9539094560887,860.7342154879452,971.5724583883921,850.349300707476,972.1594337139295,835.1247789925201,976.2699138284306,821.205935591777,979.6253634185205,811.0720881319579,982.6370922693477,792.3923047842021,990.6702383290822,769.1259259960366,1009.264456743882,752.9751056762811,1017.2266133238281,715.9753478373627,1021.4887989888739,631.1209038500376,1030.3125537553824
2022-04-01 12:00:00,1052.311,933.5645488984806,952.3603499242249,926.5674410116237,956.7336648605033,920.8039928718913,958.8676464583732,920.7513860294198,963.6861526197686,910.0933318528064,965.3351595514132,902.9369271014734,965.9965892632708,901.5050047033965,966.1419542060739,884.8295411397421,970.5183158416521,876.3967826298992,971.1818777455355,861.9765997548475,974.714847340213,850.2292845608786,976.6944538552552,839.5841400580917,981.077006455098,822.8011489494319,990.569840907573,801.2187199280074,1008.9989090954605,787.0458468086775,1015.983345830482,751.8436828297417,1019.7756835916352,665.7910459775069,1025.6598431238617
2022-04-01 12:15:00,776.933,940.4725944247903,960.3430006718718,934.0651361921093,964.8938064723725,928.6753646936854,966.2291241611256,927.1396865205134,971.2811358455924,917.1296886101154,972.8106957291893,911.4494443844819,973.7281169647877,910.53953691272,973.5846324749373,892.0207878352253,977.5780174339934,884.0691169977401,979.3260180503366,868.1553487640651,983.2613445498855,855.7154353736812,985.2601727631163,843.7624654446414,990.0569117567284,824.9475945571311,1000.0439132785805,803.3167300516254,1017.8909605937097,790.2842861297604,1024.5316635505878,757.3096306579146,1030.5865269570331,670.4842680642282,1033.85446933831
