Datetime,I,Quantile: 0.45decrease factor: 0.5,Quantile: 0.55decrease factor: 0.5,Quantile: 0.425decrease factor: 0.5,Quantile: 0.575decrease factor: 0.5,Quantile: 0.4decrease factor: 0.5,Quantile: 0.6decrease factor: 0.5,Quantile: 0.375decrease factor: 0.5,Quantile: 0.625decrease factor: 0.5,Quantile: 0.35decrease factor: 0.5,Quantile: 0.65decrease factor: 0.5,Quantile: 0.325decrease factor: 0.5,Quantile: 0.675decrease factor: 0.5,Quantile: 0.3decrease factor: 0.5,Quantile: 0.7decrease factor: 0.5,Quantile: 0.275decrease factor: 0.5,Quantile: 0.725decrease factor: 0.5,Quantile: 0.25decrease factor: 0.5,Quantile: 0.75decrease factor: 0.5,Quantile: 0.225decrease factor: 0.5,Quantile: 0.775decrease factor: 0.5,Quantile: 0.2decrease factor: 0.5,Quantile: 0.8decrease factor: 0.5,Quantile: 0.175decrease factor: 0.5,Quantile: 0.825decrease factor: 0.5,Quantile: 0.15decrease factor: 0.5,Quantile: 0.85decrease factor: 0.5,Quantile: 0.125decrease factor: 0.5,Quantile: 0.875decrease factor: 0.5,Quantile: 0.1decrease factor: 0.5,Quantile: 0.9decrease factor: 0.5,Quantile: 0.075decrease factor: 0.5,Quantile: 0.925decrease factor: 0.5,Quantile: 0.05decrease factor: 0.5,Quantile: 0.95decrease factor: 0.5
2022-04-01 08:45:00,536.3066,502.6914104799011,509.22246141987176,499.76324114910534,511.4993490092971,497.84955158359156,509.9230108670102,496.11562354875645,510.7739007104033,493.95810253666673,512.5189135559726,491.2737469317282,518.6345108007768,485.29707948794817,520.8544030278622,481.84169599167495,523.3896953209845,473.25432583518204,526.5815038651183,464.75509592243515,529.7975810925044,457.6291907746013,527.9199216472783,449.00441839701733,529.8989028814165,434.19668058255456,536.3066000000018,418.6084105265143,539.2837631272408,406.9164264876347,544.2913014359625,381.3628868310746,549.3207350396755,344.6240648262981,574.3191422294375
2022-04-01 09:00:00,604.1268,560.2053660635343,567.3674473469882,556.9788040218435,569.3286958899071,555.0414020916547,567.2118525809948,553.3448013643005,567.7201277248131,551.1383466554635,569.4827841040182,548.1094566790749,575.9757419888222,541.3372631302402,578.0503566180516,537.3662249091242,581.1248744437438,529.4855619305076,584.6601382628473,520.246171086789,587.8907491068983,513.1608638306152,586.2758021970503,502.90979400191975,587.8643826017001,487.0798708676628,594.3161961220493,471.55956532767885,598.392102819435,459.13077876089915,603.1526533820512,434.49094394592646,608.4681612097796,394.3725610363356,632.2453232023204
2022-04-01 09:15:00,661.4119,619.5061957579508,627.6958476232162,616.1870288748383,629.3860226299973,614.1549431125636,627.2576071903552,612.4318992352344,627.2704798789244,610.2639520760691,628.7049956120499,606.5308704802277,635.0313017958028,599.2074279556198,636.7385804779899,594.7570575647707,640.0957536917572,587.2137912039366,643.4436140797321,577.1296673118435,646.4306343685022,569.742789012157,645.5968570484454,557.7331663440913,646.9288401543802,541.3695438744343,652.653134252647,525.9957226661581,657.0358621481615,513.0049120745037,661.4119000000521,489.5466612467942,667.3955809738422,444.74659804500806,688.6639668992607
2022-04-01 09:30:00,723.4158,676.4686829027614,685.4875181521681,673.0930550579511,686.8181335126465,671.0691867162982,684.8753078636273,669.4986821814954,684.4152824196593,667.5315424908345,685.3010631115413,663.0299717098972,691.3559371273192,655.3892675606479,692.4639903211385,650.254260381039,695.6522380834568,642.6839299478911,698.3558929559317,631.8625062790939,700.8182847700198,623.9204780473467,700.7889178473753,610.6667208052222,701.7631200389139,594.6180615464967,706.656344706387,579.5050245381258,710.9495951017857,566.021807235614,714.5967169022124,543.1391466408289,720.6291432096459,493.13862025216025,739.7667528386878
2022-04-01 09:45:00,773.8237,724.2213369060621,734.2618437132955,720.726141791133,735.3304958815227,718.6903584527306,733.7696991242409,717.2677598270387,732.9364207460808,715.600050347016,733.3430455579986,710.3601895144277,739.4398958805073,702.4494459354081,740.0398048706487,696.6396589920473,743.1113993369578,689.011625350817,745.2972326393416,677.5361752056796,747.2601979351815,668.9002126653808,748.1698777326396,654.7435044685908,748.8600055882414,639.6617993137035,753.0224894416854,625.4707946076561,757.4105612035974,611.910565651173,760.4834729849866,589.9610445525391,766.5737934380965,535.6628826915907,783.8624134351454
2022-04-02 07:45:00,298.6797,274.77249529114346,279.9635849353168,273.89121518748186,280.15793576379616,275.9030230915484,282.77771421940105,276.2790623627364,283.5941452219857,275.7131419951229,285.7539378204034,275.3376216192728,288.2877468606402,272.53242362126537,288.189375559826,269.3805393081514,286.83481726090736,267.863481993583,290.1028996952951,262.27700148117594,292.5794107504829,259.4713771075617,293.1180428121593,251.70818373101795,296.54407872131065,243.2137564994076,298.67969999999724,237.70808855025018,296.5180013977592,223.92515745427605,296.87676378926824,219.53139125964088,303.88560462559013,184.09749330401152,321.35061057129775
2022-04-02 08:00:00,167.9045,372.43386518514774,378.8901659755441,371.73174332781446,379.21785390395706,373.7481286415314,380.8425491731871,373.48658386442077,381.0063625689573,372.2953073269267,382.93754717529123,371.38583209217273,384.0747111127995,367.8958650384551,383.6933573626896,365.8301929778061,383.0213998981148,364.94483569936057,386.1303020452169,359.10868345443805,388.2727045888624,356.9088024155118,389.12546812868976,349.0660468843728,393.49934452951584,338.20102590850473,394.9002702492083,330.58784867712353,393.5405086267186,314.75054186073265,393.33468447153206,303.09799800769747,399.6531460067476,256.79309662836766,413.3704845221937
2022-04-02 08:15:00,189.6699,398.8699585982951,406.0730544504598,397.041549452531,406.43360914256465,398.31572497420694,408.10803437661343,397.9123930724675,408.9626489704373,396.79929207222625,411.8207736486561,395.4654691484558,413.22261049162324,392.1439836342673,412.9039501680877,390.19224946346213,412.71799148411,389.6156829113126,417.4858718927466,384.7304149424421,420.80530507193004,383.2959824159192,422.19981511507973,376.06735439946385,428.0215311241614,363.7494372328746,429.26821547790763,356.4567531023576,427.76655817027796,340.934665238186,427.72900426910775,325.8592381847967,433.4980088419427,279.3125550856242,451.03586868553526
2022-04-02 08:30:00,230.3108,245.12711115827267,252.82032132158068,238.80626759778312,253.50243656142294,237.13006709741563,259.2342355371852,237.3942323643142,264.8874008289715,236.0099954653499,270.95096851418526,234.07135139352468,274.36971014772377,233.1401089860808,274.76801075803263,229.4807383750134,276.4367438927317,230.31080000000094,286.6121449668434,228.0432354183878,294.85014729584753,229.15146979146792,296.9336300576707,223.92242155939724,308.6991603090299,212.86299963871338,311.4763233161424,208.67088789727737,307.1432178177082,200.3910704612175,309.03240633942886,189.62497537705957,315.8162099119819,168.50303596132605,354.8476897894968
2022-04-02 08:45:00,346.7465,268.73364593318263,276.34367689442496,261.462857067722,276.84997434267933,259.04472489897023,282.4330067730141,259.44257435587747,288.44495434056813,258.1715515948658,295.4202221774015,255.6102557606872,298.73945795922623,254.7050664221544,299.04956414629424,251.2493307280951,301.3063033665209,252.54165738004363,312.9243155938398,250.83460993793827,322.09061799408795,252.76204867524717,324.6582475546574,247.78686950618737,337.08246652535627,235.4933136023564,339.4701387119273,231.50643794897167,335.13266145667603,223.25170573350908,336.973469236057,209.24801908659896,342.4381934199609,187.96693314315056,384.35311131066067
