Datetime,I,QRF Quantile: 0.45,QRF Quantile: 0.55,QRF Quantile: 0.425,QRF Quantile: 0.575,QRF Quantile: 0.4,QRF Quantile: 0.6,QRF Quantile: 0.375,QRF Quantile: 0.625,QRF Quantile: 0.35,QRF Quantile: 0.65,QRF Quantile: 0.325,QRF Quantile: 0.675,QRF Quantile: 0.3,QRF Quantile: 0.7,QRF Quantile: 0.275,QRF Quantile: 0.725,QRF Quantile: 0.25,QRF Quantile: 0.75,QRF Quantile: 0.225,QRF Quantile: 0.775,QRF Quantile: 0.2,QRF Quantile: 0.8,QRF Quantile: 0.175,QRF Quantile: 0.825,QRF Quantile: 0.15,QRF Quantile: 0.85,QRF Quantile: 0.125,QRF Quantile: 0.875,QRF Quantile: 0.1,QRF Quantile: 0.9,QRF Quantile: 0.075,QRF Quantile: 0.925,QRF Quantile: 0.05,QRF Quantile: 0.95
2022-04-01 08:45:00,536.3066,514.3079833984375,534.1494140625,513.193603515625,535.6436767578125,511.3221130371094,535.5475463867188,506.2369689941406,536.7275390625,504.9216613769531,536.3466186523438,504.3580017089844,540.56591796875,501.0360412597656,543.9909057617188,502.0002746582031,542.7783203125,496.6312255859375,543.4141845703125,498.6191711425781,547.8150024414062,493.7100830078125,555.6490478515625,488.3792419433594,554.9720458984375,489.760498046875,562.7874755859375,468.5268859863281,567.7194213867188,439.37298583984375,579.4635620117188,415.9282531738281,578.324951171875,381.6978454589844,596.8596801757812
2022-04-01 09:00:00,604.1268,578.27587890625,582.6871337890625,574.7609252929688,588.123291015625,569.1095581054688,593.5146484375,557.8505859375,593.4306640625,568.523193359375,597.4334106445312,557.3577880859375,597.452880859375,552.0830688476562,598.2169799804688,548.8912353515625,599.6620483398438,547.5917358398438,601.069580078125,544.0103149414062,603.4406127929688,534.6949462890625,604.018798828125,535.2698364257812,604.1019287109375,533.5966186523438,606.24853515625,514.9329223632812,609.1136474609375,500.26177978515625,619.0037231445312,470.78271484375,643.1947631835938,447.9095153808594,668.3177490234375
2022-04-01 09:15:00,661.4119,639.5702514648438,656.312255859375,643.2605590820312,652.250244140625,640.9256591796875,655.7654418945312,632.7771606445312,659.2341918945312,632.2982788085938,661.362548828125,620.85546875,661.8603515625,622.46484375,664.9921264648438,619.9595336914062,671.8653564453125,618.521240234375,672.4417724609375,614.2738037109375,671.8986206054688,598.3220825195312,679.548095703125,605.4352416992188,679.3057861328125,593.6817016601562,685.8025512695312,563.925537109375,700.17138671875,560.2409057617188,702.322509765625,570.6795654296875,702.0698852539062,526.6060791015625,716.0324096679688
2022-04-01 09:30:00,723.4158,692.4204711914062,709.549072265625,688.9468994140625,702.5919799804688,689.0947265625,709.3193969726562,685.8713989257812,714.9431762695312,679.5139770507812,715.5245361328125,675.6240234375,723.0756225585938,675.927978515625,723.462646484375,669.3611450195312,723.1704711914062,672.0178833007812,723.7827758789062,650.0444946289062,725.8059692382812,654.4945678710938,736.8275146484375,645.688720703125,731.70458984375,644.0504150390625,732.7570190429688,644.6759033203125,751.6549072265625,585.07470703125,754.4910278320312,587.9044189453125,753.8660278320312,560.700927734375,782.2129516601562
2022-04-01 09:45:00,773.8237,736.1704711914062,746.4117431640625,728.8212280273438,751.0055541992188,729.6477661132812,747.5493774414062,728.9548950195312,756.8827514648438,721.0995483398438,757.8250732421875,714.8372192382812,757.0565185546875,720.9464721679688,760.0865478515625,711.1567993164062,766.4697265625,701.1031494140625,763.5580444335938,687.75390625,772.0537719726562,689.0625,772.7437133789062,687.8521728515625,774.0465087890625,678.6650390625,781.7454833984375,647.6317749023438,781.7037353515625,632.0842895507812,789.46875,566.6339111328125,797.421142578125,545.6001586914062,811.16015625
2022-04-02 07:45:00,298.6797,296.58428955078125,303.5287780761719,293.57110595703125,302.196533203125,292.3222351074219,305.0547180175781,284.47467041015625,306.5746154785156,279.6948547363281,308.0121154785156,279.87353515625,312.58905029296875,277.867919921875,321.1068420410156,269.4197998046875,320.0452880859375,260.197021484375,325.6120300292969,256.8615417480469,327.5990295410156,261.78387451171875,329.4117126464844,248.65737915039062,346.1481018066406,255.5885009765625,346.1697998046875,234.19790649414062,335.7026672363281,227.22239685058594,354.3300476074219,210.16441345214844,354.48858642578125,200.62628173828125,363.4653625488281
2022-04-02 08:00:00,167.9045,351.33740234375,363.8508605957031,351.8570556640625,366.7922058105469,338.52081298828125,363.4731140136719,328.6012878417969,367.2223815917969,328.69073486328125,373.31207275390625,326.1466979980469,382.6548767089844,322.2164611816406,379.3818664550781,288.5476989746094,380.8297424316406,272.326416015625,384.9886474609375,271.1362609863281,387.8187255859375,206.26461791992188,387.8235168457031,189.8902130126953,387.958984375,230.30294799804688,395.13116455078125,197.16465759277344,404.22955322265625,183.8658905029297,405.8201904296875,167.9478759765625,413.93328857421875,167.79876708984375,426.3404235839844
2022-04-02 08:15:00,189.6699,383.92864990234375,392.3878479003906,380.8028869628906,400.9942626953125,366.7738952636719,408.1332092285156,366.7440185546875,409.4845886230469,351.3226623535156,415.6668395996094,349.66461181640625,410.41864013671875,337.9930725097656,415.6915283203125,313.3305358886719,415.486083984375,281.14849853515625,426.2431335449219,312.18408203125,425.9356994628906,244.91421508789062,423.40740966796875,230.7139892578125,432.4417724609375,238.81077575683594,435.6028747558594,204.87542724609375,438.12677001953125,189.83717346191406,436.83447265625,177.77322387695312,454.0667419433594,173.0576171875,486.1191101074219
2022-04-02 08:30:00,230.3108,270.3553161621094,289.6861267089844,264.2247314453125,297.6192321777344,257.83306884765625,302.7648010253906,259.645751953125,308.8857116699219,250.55496215820312,300.2145080566406,248.09304809570312,308.8857116699219,230.56651306152344,335.0695495605469,230.64869689941406,326.44512939453125,230.41249084472656,336.81732177734375,218.15609741210938,354.1105041503906,230.19174194335938,341.8638610839844,217.91650390625,356.30560302734375,216.38894653320312,357.1326904296875,200.63021850585938,378.94879150390625,203.0560760498047,367.24169921875,187.30848693847656,387.3167419433594,178.188232421875,429.2481384277344
2022-04-02 08:45:00,346.7465,305.01434326171875,338.0260314941406,308.8857116699219,326.7660827636719,307.3858947753906,346.1231689453125,291.20269775390625,346.58038330078125,289.52996826171875,346.727294921875,280.42584228515625,345.3418273925781,274.0572204589844,354.1907653808594,263.5933532714844,360.4316711425781,261.16387939453125,357.060791015625,242.03843688964844,382.2159423828125,245.96409606933594,383.314208984375,231.1995391845703,394.52813720703125,223.49696350097656,435.5951843261719,218.5325469970703,435.98480224609375,211.77146911621094,446.9727478027344,190.1284637451172,466.7296142578125,189.90994262695312,490.7223815917969
