Datetime,I,Quantile: 0.05decrease factor: 0.0,Quantile: 0.95decrease factor: 0.0,Quantile: 0.05decrease factor: 0.02,Quantile: 0.95decrease factor: 0.02,Quantile: 0.05decrease factor: 0.04,Quantile: 0.95decrease factor: 0.04,Quantile: 0.05decrease factor: 0.06,Quantile: 0.95decrease factor: 0.06,Quantile: 0.05decrease factor: 0.08,Quantile: 0.95decrease factor: 0.08,Quantile: 0.05decrease factor: 0.1,Quantile: 0.95decrease factor: 0.1,Quantile: 0.05decrease factor: 0.12,Quantile: 0.95decrease factor: 0.12,Quantile: 0.05decrease factor: 0.14,Quantile: 0.95decrease factor: 0.14,Quantile: 0.05decrease factor: 0.16,Quantile: 0.95decrease factor: 0.16,Quantile: 0.05decrease factor: 0.18,Quantile: 0.95decrease factor: 0.18,Quantile: 0.05decrease factor: 0.2,Quantile: 0.95decrease factor: 0.2,Quantile: 0.05decrease factor: 0.22,Quantile: 0.95decrease factor: 0.22,Quantile: 0.05decrease factor: 0.24,Quantile: 0.95decrease factor: 0.24,Quantile: 0.05decrease factor: 0.26,Quantile: 0.95decrease factor: 0.26,Quantile: 0.05decrease factor: 0.28,Quantile: 0.95decrease factor: 0.28,Quantile: 0.05decrease factor: 0.3,Quantile: 0.95decrease factor: 0.3,Quantile: 0.05decrease factor: 0.32,Quantile: 0.95decrease factor: 0.32,Quantile: 0.05decrease factor: 0.34,Quantile: 0.95decrease factor: 0.34,Quantile: 0.05decrease factor: 0.36,Quantile: 0.95decrease factor: 0.36,Quantile: 0.05decrease factor: 0.38,Quantile: 0.95decrease factor: 0.38,Quantile: 0.05decrease factor: 0.4,Quantile: 0.95decrease factor: 0.4,Quantile: 0.05decrease factor: 0.42,Quantile: 0.95decrease factor: 0.42,Quantile: 0.05decrease factor: 0.44,Quantile: 0.95decrease factor: 0.44,Quantile: 0.05decrease factor: 0.46,Quantile: 0.95decrease factor: 0.46,Quantile: 0.05decrease factor: 0.48,Quantile: 0.95decrease factor: 0.48,Quantile: 0.05decrease factor: 0.5,Quantile: 0.95decrease factor: 0.5,Quantile: 0.05decrease factor: 0.52,Quantile: 0.95decrease factor: 0.52,Quantile: 0.05decrease factor: 0.54,Quantile: 0.95decrease factor: 0.54,Quantile: 0.05decrease factor: 0.56,Quantile: 0.95decrease factor: 0.56,Quantile: 0.05decrease factor: 0.58,Quantile: 0.95decrease factor: 0.58,Quantile: 0.05decrease factor: 0.6,Quantile: 0.95decrease factor: 0.6,Quantile: 0.05decrease factor: 0.62,Quantile: 0.95decrease factor: 0.62,Quantile: 0.05decrease factor: 0.64,Quantile: 0.95decrease factor: 0.64,Quantile: 0.05decrease factor: 0.66,Quantile: 0.95decrease factor: 0.66,Quantile: 0.05decrease factor: 0.68,Quantile: 0.95decrease factor: 0.68,Quantile: 0.05decrease factor: 0.7,Quantile: 0.95decrease factor: 0.7,Quantile: 0.05decrease factor: 0.72,Quantile: 0.95decrease factor: 0.72,Quantile: 0.05decrease factor: 0.74,Quantile: 0.95decrease factor: 0.74,Quantile: 0.05decrease factor: 0.76,Quantile: 0.95decrease factor: 0.76,Quantile: 0.05decrease factor: 0.78,Quantile: 0.95decrease factor: 0.78,Quantile: 0.05decrease factor: 0.8,Quantile: 0.95decrease factor: 0.8,Quantile: 0.05decrease factor: 0.82,Quantile: 0.95decrease factor: 0.82,Quantile: 0.05decrease factor: 0.84,Quantile: 0.95decrease factor: 0.84,Quantile: 0.05decrease factor: 0.86,Quantile: 0.95decrease factor: 0.86,Quantile: 0.05decrease factor: 0.88,Quantile: 0.95decrease factor: 0.88,Quantile: 0.05decrease factor: 0.9,Quantile: 0.95decrease factor: 0.9,Quantile: 0.05decrease factor: 0.92,Quantile: 0.95decrease factor: 0.92,Quantile: 0.05decrease factor: 0.94,Quantile: 0.95decrease factor: 0.94,Quantile: 0.05decrease factor: 0.96,Quantile: 0.95decrease factor: 0.96,Quantile: 0.05decrease factor: 0.98,Quantile: 0.95decrease factor: 0.98,Quantile: 0.05decrease factor: 1.0,Quantile: 0.95decrease factor: 1.0
2022-04-01 15:15:00,712.3685,449.0853319283023,449.0853319289695,438.99154538552636,450.58265942553146,430.8595495076296,454.0417775877352,424.06823493313595,458.84157705315687,413.27500666586377,459.6394628258583,403.3535014939012,461.3090716938637,391.22237524894035,460.7690594889403,382.7124465809924,463.8502448609897,372.53199019761854,465.2609025176149,370.9609816842214,475.2810080442205,364.4716043699275,480.3827447699395,358.146576411025,485.6488308510272,351.34349102874904,490.43685950874897,345.6127672797067,496.2972497997078,342.09796150861223,504.3735580686097,336.92456060517264,510.7912712051798,336.31796952419154,521.7757941641607,332.7293177919052,529.2215455377574,331.393832205904,539.1413657733343,326.9640113798083,545.9252986899224,322.15565464644465,552.5281224142219,318.1973503445858,559.6838516975608,312.6926863186036,565.1113800995422,305.90907073251486,568.5974303921272,300.02589161542824,571.9853656167965,297.26625035067406,579.6278936150678,294.8312899249285,585.2623574559132,290.7546140669835,589.9963417050224,283.33119082020454,593.2156578480312,277.01991904220546,593.4178011525654,271.2789794693423,594.5025631877222,272.517300604844,597.3706414731323,272.12172888615214,603.6621806145596,270.7673879944873,606.9975564849223,265.00826138154787,608.6158433937522,259.6611501895094,608.9032542513357,251.8093165300088,611.3664039886532,250.8397465575897,625.1188064181764,249.1715332678706,628.789487761568,245.7939383158756,631.2570551129777,244.10324007758177,634.3729520045747,243.53340183826032,642.0452259579137,235.1055916816366,647.6376321183036,230.11956722698045,649.8174196714225,226.30390176378995,653.844625374756,223.185321371176,655.7210989440935,221.02370595105256,656.8457514791927,220.95615016572347,659.9033441398706,217.47141222795463,663.6503080893779,216.92372580522132,668.749041730739,215.81224660217833,674.1088424506139
2022-04-01 15:30:00,536.8187,563.6575599405778,563.6575599411537,557.5893538418834,569.1804678818811,548.0662929539246,571.2485210339617,546.3346077423854,581.1079498624043,536.8186999999997,583.1831561599955,536.8187000000036,594.7742701999853,532.592265157583,602.1389493975724,528.7878775884737,609.9256758684808,517.9057957052742,610.6347080252718,513.8059574860546,618.1259838460473,502.5679562304514,618.4790966304786,492.56937231730814,620.071626757269,486.1382819531143,625.2316504331145,476.24622962828425,626.9307121482818,472.4609259246535,634.7365224846428,461.0945382870956,634.961248887106,453.7686518017198,639.2264764417337,442.01337086552275,635.2247512322854,436.0038050035176,637.6342887024285,427.4947732518202,637.4259669375504,421.33657626028435,638.8340708102448,408.964840373425,636.3103048428904,403.10930114398775,638.2134537544999,393.1002003985608,635.7362790559216,379.1768075977537,631.6412468469955,371.3519063380535,634.6097867496387,366.1482207135708,638.1460350744297,358.40120731847185,640.0977441388518,350.1319020160902,639.2858964586909,344.06239265484066,639.2930824560029,336.38702846726386,638.7605142340436,339.7919373556019,638.830893574353,338.76822559617716,641.4801240771603,333.0036272294136,637.9374803681983,324.14617367949387,640.4993663300506,320.1304306505184,640.3531341667299,314.0074785693502,640.6539089136769,314.010219113867,641.83699652453,311.7817646605058,642.9233090322388,309.3122035633645,641.9888874558832,308.1429594141658,636.667981814242,308.54883735675884,640.4927218794211,304.5507549380101,641.4427692870486,299.6686182257646,638.9351086628393,295.43017805237383,639.0868353689233,292.399458936417,635.1600665605085,291.43224318965906,635.2965790039999,291.78376092316705,637.2883508981304,289.16244779144984,638.3816315073434,289.03210131430126,644.6366683422077,287.4751439087919,647.5445990242382
2022-04-01 15:45:00,576.6915,523.8705494219045,523.8705494221886,516.9464995719732,528.5376136119739,507.617136279879,530.7993643598995,503.90455598862,538.677898108638,499.71537658569406,546.0798327457007,498.22688919767916,556.1824593976689,495.2183616592468,564.7650458992412,491.39506880941536,572.532867089413,483.14832290698075,575.8772352269789,475.76118808057424,580.0812144405735,465.4959795853782,581.4071199853827,453.39038211911395,580.8926365591075,446.4438368370904,585.5372053170895,438.63963099758985,589.3241135175866,431.89178570709294,594.1673822670871,417.9771427435375,591.8438533435464,404.95419878207434,590.4120234220801,395.5316555662594,589.9006438512114,387.84174067307515,591.232979238902,377.6673176542137,590.4382614732517,368.31453377499247,589.1665363865953,354.10789309949564,585.1292188320618,349.47690336093984,588.9927731254382,338.28440991865324,585.8330124013895,329.043007005109,586.552114977074,317.677651898052,586.1309582572097,311.8150690970801,589.2895776890778,308.6358684558661,595.8241123971083,302.95670315426014,595.5249168229083,299.00274429669855,598.1026293824584,291.67111149925563,598.0234043884673,294.1900602072386,597.4394766824006,294.202154321163,597.4739502658542,289.139073749169,593.798453827058,283.7183417917034,594.867215538079,282.84378929666286,594.9033646343503,279.9110249840173,596.5421481349266,280.5554455728442,595.7585707490698,277.56579314610127,595.0427809675118,275.6947625985868,594.3842716494344,275.69056303100837,593.5635700992101,275.250037174546,596.010291692333,274.982599597073,597.9590322268933,274.93591784126585,600.3277556588656,271.0626125840569,600.3978003411379,269.2149137082248,599.842871717339,266.4942560090444,600.891660278997,265.108169268232,602.9332535015066,264.1944838461747,606.2988382875601,263.19330784080495,615.2507766463857,260.79534856567165,620.3460170851877
2022-04-01 16:00:00,440.7584,420.72578939637884,420.7257893966389,412.327982578449,423.9190966184547,404.03325591032257,427.21548399036317,397.5174178987268,432.29076001875194,393.5254012340307,439.8898573940378,386.5944066220186,444.5499768220161,379.8327077251409,449.3793919651414,373.56581718023284,454.70361546022485,366.2847428785175,459.0136551985149,358.9171891674654,463.23721552746673,351.0802186938895,466.9913590938837,340.3486086999895,467.85086314000824,332.83662824227486,471.9299967222743,327.6871357792795,478.3716182992781,320.41738840134144,482.692984961341,308.99892164619956,482.86563224620687,297.4528675657781,482.91069220574343,292.81687724891077,488.50182202745594,287.38957549806383,492.8363941754519,279.903469101383,495.0474187094721,271.63390097044896,495.382352690117,262.202853808399,495.2778333782053,258.36890681499335,500.7376617542098,249.75499275990632,500.68433312863,245.2861052316832,505.109949333154,236.07499056392882,505.59853494162166,231.698338661154,508.1901985277537,231.53221677452535,515.5617124814593,227.5592901059428,514.7036069338507,224.7342281933865,516.8474335137404,219.30685249756027,516.4946546012459,220.82869777488563,515.7099226431021,221.27228176831517,515.1912762457871,219.37864308035634,514.6184278001117,216.9194402384347,515.0339817306663,216.2120853543167,514.8638009335353,213.5867508853646,516.4058629519552,213.80061550397423,520.9838299995746,211.6069506363655,521.853446372686,210.175680303256,523.6655555051808,210.25002937435983,528.0976911754791,209.41090568764236,531.7742423535403,208.35186558817398,534.6619385103995,209.16499220057005,538.0396255426692,206.21596754909507,539.0131040436938,205.2568178822547,540.3085795291566,202.2920360238437,541.4582895178596,200.61309893085757,543.0728832355804,200.2246313991537,546.6685697339339,199.15338772121552,553.356782237296,197.28289331362694,558.0296777340494
2022-04-01 16:15:00,431.5767,401.07083743098383,401.0708374313742,393.5901476352138,405.18126167521183,384.28560856816966,407.46783664819543,379.2743512950556,414.04769341508927,371.81977872113526,418.1842348811404,367.88466727971064,425.8402374797033,362.2164006209522,431.7630848609499,356.2562412674941,437.3940395474935,347.6433893433928,440.37230166339435,339.6547364403067,443.97476280030617,330.31945479127563,446.2305951912774,319.41775061905946,446.9200050590664,311.94926527578093,451.04263375578006,305.07826076646387,455.76274328646264,298.50695168531166,460.7825482453086,287.86327382996177,461.7299844299662,277.84559805207357,463.3034226920363,270.35182168928026,466.16940396780245,263.72202118625586,469.45700088076234,257.9085400725266,473.1993295389131,253.66844476155447,477.51028499507066,245.27071254824733,478.57387979639907,240.27604301636228,482.82908954945094,232.86064955733485,483.8797203882362,225.3807888474435,485.04796067699505,217.6703409599309,487.0210024102571,213.1031118493144,488.8413441949874,211.02492862165403,493.92672522465944,207.52787454312985,489.3961396877325,205.21453697862492,490.5309556360036,199.78467599840337,488.8767216733697,201.75121086556695,485.0596022246215,201.91542015082774,481.3227531646164,200.44167738259785,478.19458487406234,197.065444994805,478.55264721142913,196.14098564556434,475.96475733133644,193.7233441443927,475.3685098622579,193.89591398577446,474.27548342883523,192.72681815861193,473.6106440714372,192.73898059633544,472.5022983640429,192.68616544403147,471.0665861344799,192.50333223147194,472.6894133555004,192.2841666569867,473.4897539649099,191.13396330150763,471.48906727599814,188.88572118837274,470.75973496211765,188.55267661116488,468.0915493380021,187.50715513043988,467.7668873858981,187.59310419147081,468.2253844119113,187.4362256869606,468.34851982881895,187.1815250325438,472.96748914156353,186.31652057851892,475.34408886196263
2022-04-01 16:30:00,378.0228,341.56175704842576,341.56175704842354,334.5465025839757,346.1376166239713,329.69601480164937,352.8782428816553,322.37064548872655,357.1439876087493,316.35263064276035,362.7170868027724,307.95350403474697,365.90907423476233,300.181316857926,369.728001097923,292.8125902473543,373.95038852734984,285.26891326999834,377.9978255899965,275.8021219523652,380.12214831236685,266.8570911699172,382.76823156990895,258.34161465184144,385.8438690918454,248.2740585577724,387.36742703777344,243.58335592467154,394.2678384446699,234.8841054528911,397.1597020128923,226.71978269859252,400.5864932986008,217.96377494727832,403.42159958723613,213.70021405519367,408.1390612036249,206.70128739641652,409.93132158733556,202.18356633238744,413.33864955470654,197.66858969928123,415.87470187464186,191.6457218477295,417.2430911799234,190.7754328763846,424.8401233735225,185.8043965213283,428.14447537868944,182.69229735628963,432.72939644752836,175.22134644120445,433.33897406206194,172.96815105112293,435.8737500472573,172.60368223357906,440.0151280514812,170.34256658780856,437.7785554012202,170.08937580641677,439.44299079619555,167.89157618540577,438.4794119113016,171.75071690639996,435.7214120234628,172.74056401435786,430.43582598353606,174.35733823571547,428.1075873470352,174.93127096918394,425.036721482923,175.30633908891687,421.2910975390156,175.2884373896204,420.78736993380113,175.32241083495288,418.20070162908104,176.1224613199252,419.45531723999,178.39687952734062,419.04217848911543,178.58859485383203,419.5242848706207,178.56609415253357,418.14665703119897,179.08433668981436,417.51133358506627,179.99860676219188,417.0419908218743,180.32862316150184,416.70410056129697,181.65312872470932,417.00328722775856,181.20482021467728,415.9559143527143,180.82933826521565,414.93275117163887,182.33535532341,415.7988460540843,181.8674956861733,415.9481801807936,181.38864613721742,416.98552285302264
2022-04-01 16:45:00,322.8228,309.94306253121306,309.94306253126535,303.14061511780193,314.7317291577912,297.65198927234934,320.8342173523498,290.8455420697968,325.61888418982005,282.90229729838074,329.26675345839186,275.8534096993724,333.8089798993759,268.16876830938,337.71545254937735,260.39968595225,341.5374842322483,252.25392421538126,344.98283653538215,242.41150808127495,346.73153444127627,233.2461773643434,349.1573177643344,224.98381561772302,352.4860700577237,215.06793845939575,354.16130693939607,209.85110227358507,360.535584793585,201.51179007332303,363.7873866333225,194.89357302962028,368.76028362962734,188.1163366338021,373.5741612737557,182.9035970227914,376.65995483769797,175.37169034422104,377.4008483114039,172.40333118485933,381.32180665650253,170.66598089128536,385.83088859292553,166.37259716243156,388.2845390076401,164.48956591503324,394.26686536478877,160.36561896425437,397.84439181272484,156.70525593760564,401.1933827801454,150.78869346317578,402.6143904847106,148.61764276927454,404.1923068237785,147.86010619833746,406.77323782721373,146.3220946717992,402.46197169413364,146.441566076538,403.07745989068457,144.16828800843916,400.563166104023,147.7406763424837,395.77261090542163,148.87187598072347,388.29179763645897,151.27097526773488,384.38163146452354,151.78269552859032,380.4639941512347,152.22956136249158,374.8662053670937,152.46503374508526,372.9558740039779,152.45334035824837,367.5994554792495,153.79514790395004,367.84026891731673,156.93114156054173,365.1177666555913,157.07481510062783,362.09340461610424,157.19370695255324,359.56812541752316,158.07883549355498,358.70867398078076,158.02978370034677,355.96131451783754,158.76127999077056,355.2879537211118,160.43677239797347,354.81453348082704,160.9085089041273,353.22959878884797,161.65990288492836,352.21270721053287,163.17680022673437,351.7039949356258,163.11037909134862,350.8724133349531,163.30367598696415,351.940858168021
2022-04-01 17:00:00,262.465,255.9637973551807,255.96379735520867,249.5696117140506,261.16072575404024,244.2599266359925,267.44215471598704,237.90727970346651,272.680621823488,231.30876216360292,277.67321832361364,224.86596595506228,282.8215361550748,218.26114936236547,287.807833602365,211.43592239110038,292.57372067109515,204.5468910070986,297.2758033270978,194.99246203264522,299.3124883926472,186.6800515394601,302.59119193944906,178.8689568149919,306.3712112549942,169.74046836515777,308.83383684515803,165.29007657103904,315.97455909103945,157.25170069949786,319.52729725949695,150.81361259816592,324.6803231981751,143.36205069337657,328.81987533333125,139.16590681894314,330.92178869941773,132.42803479863773,330.67839654263196,130.10953470092022,332.7274371136699,128.74013875794412,334.95497287793756,125.08544139574911,336.0082272601887,123.54803847908873,340.5110769804164,120.31153719341609,343.28455971521777,117.52914624141881,346.1921110524133,111.92049701306856,346.26099247189813,109.90429831255832,345.9977215325868,110.01060887851993,347.2891466382661,109.30511003547751,342.7997313585713,110.00549840193288,342.78739543534004,108.33551074982307,339.5474046543962,111.55366057338395,335.253440353414,112.67294187582014,327.54287098602356,115.15158725351837,323.754207051028,116.21135072890023,320.54276398774687,116.98420510138706,315.5718367415067,117.61599142264821,313.4517355096821,117.68430805887694,308.25733269084736,118.99899258442048,308.05278531735223,122.25501338027578,305.78305946038495,122.54519802514535,303.8282612538811,122.59302461126047,301.5302354184549,124.18136582952313,300.07228544138707,124.63934181139466,296.98746609089756,125.50280285186912,296.1440844881449,127.41288508562153,295.89273101762075,127.9165628890974,294.63645096441206,128.56156899136403,294.2386443671632,130.3396625636483,293.8075481461466,130.35156323925887,292.14984117630473,130.64176205498867,292.9674194691082
2022-04-02 15:15:00,406.9214,509.17686106175404,509.1768610619294,501.72364759493865,513.3147616349529,490.1456516389132,513.3278797190259,488.66826521008454,523.4416073301383,481.0585268624986,527.4229830224853,478.323916671768,536.2794868717457,473.7502239488775,543.2969081888788,473.1096357732105,554.2474340532049,464.5004748170404,557.2293871370316,465.87546621118014,570.1954925711756,460.17315562743073,576.0842960274572,449.1290765479526,576.6313309879619,447.8146668485997,586.9080353285984,440.17087198580344,590.855354505798,439.34811104863496,601.623707608621,425.5621044296488,599.4288150296594,415.3517434997973,600.8095681397986,408.4670169001307,601.9411849183978,406.92140000000165,608.8080332332883,397.1604552181479,605.9527732765738,390.215680472529,604.5337937842178,377.3920098704979,600.4333311693387,368.67565120555315,598.378702432328,357.91518286943983,593.1091502262427,345.24678553854307,587.2561590562939,337.8956508445648,589.6949979938894,332.0441771170481,591.8049367610845,326.63524216765313,597.2786633544146,316.43579990433886,597.1956548484126,308.73005963546467,596.1420134486057,300.273413618045,595.8035758943353,300.4294085355645,597.7466723784817,297.6020752123522,607.3905988953486,289.81861832873267,609.5966609112855,278.34273669520803,620.5510627730239,271.25193605254094,625.8219742025642,260.3134134689318,628.4961256389342,259.95341500608333,648.3814662555767,254.30496354194992,647.2600765621436,247.46608604326062,654.5429415887457,245.90182248346284,662.0785796184081,245.19092132949913,674.6119823904384,238.18167177737126,679.4713905400963,233.22575685454765,678.4216532232317,226.27393828127796,679.0306450690705,221.68930062784963,673.7096847676154,217.48205908709826,676.8692870745616,216.2083053442846,685.0640402492417,211.82347299748045,689.6208908887319,210.84268325817254,699.5472157510891,207.73402027319315,705.7437554350531
2022-04-02 15:30:00,280.0602,497.4644974355513,497.4644974355413,490.6509284406384,502.2420424806478,478.2578119810088,501.4400400610938,477.74062507947343,512.5139671995254,473.02119868207507,519.385654842067,473.68764014173496,531.6432103417166,472.9226446098614,542.4693288498642,474.25816894718446,555.3959672271761,467.15804737809185,559.8869596980858,466.3433009970731,570.6633273570709,460.1211690944932,576.0323094945129,447.14517923842345,574.6474336784379,446.3994031413115,585.4927716213095,438.5716319619258,589.2561144819199,436.4739208308278,598.749517390813,420.00630850980673,593.8730191098161,405.4245505541389,590.8823751941585,397.1027217430436,590.0987024251294,393.33858377282706,594.3630372226503,382.15427355100013,589.7943987239784,374.23402146376753,586.611849880719,358.441913683,579.62809758812,349.92928336226487,577.3162293247693,338.02936060475076,570.5278346928752,325.3047558692854,564.5604424283358,315.267902731257,564.522846316158,308.1859499307553,565.6841237965414,304.03752880942636,572.6681274908746,295.3197194955867,572.0238996930475,288.9351362689779,572.4873883822381,280.0601999999998,572.0944999041373,280.0601999999985,573.24882953517,277.5650437342163,580.4776150642556,268.65123317033243,580.4360983313137,257.83400473874923,591.664793971719,252.75547483349504,596.8248294505299,243.99153448766805,599.8124402687558,244.30553631863697,613.1691892286177,238.04794605514832,608.7103949618865,231.90407415050348,614.1027034929436,231.1201865064489,620.608324078513,230.27130263299594,631.0998731534137,226.8466069252366,635.0078308168868,224.1580039738624,634.5174835732664,217.18916442303475,633.8592775396653,213.23958880190747,628.3398165019254,208.6836067503757,631.8143184765479,207.01029787765188,640.0299981694267,203.65611570522208,644.7762421991948,202.48178252625397,656.568490750611,198.95053221996386,663.4493532372855
